stock,date,action
GOOGL,2/6/2012,buy
GOOG,2/6/2012,buy
AAPL,5/23/2012,buy
AAPL,5/24/2012,sell
GOOGL,6/13/2012,sell
GOOG,6/13/2012,sell
AMZN,11/19/2012,buy
GOOGL,11/20/2012,buy
GOOG,11/20/2012,buy
AMZN,12/18/2012,sell
GOOGL,1/31/2013,sell
GOOG,1/31/2013,sell
FB,3/7/2013,buy
FB,3/20/2013,sell
AMZN,4/2/2013,buy
AMZN,4/3/2013,sell
AMZN,4/10/2013,buy
GOOGL,4/22/2013,buy
GOOG,4/22/2013,buy
AMZN,4/29/2013,sell
AMZN,5/10/2013,buy
GOOGL,5/15/2013,sell
GOOG,5/15/2013,sell
AMZN,7/17/2013,sell
GOOGL,9/4/2013,buy
GOOG,9/4/2013,buy
AMZN,9/4/2013,buy
GOOGL,10/18/2013,sell
GOOG,10/18/2013,sell
AMZN,10/22/2013,sell
FB,12/3/2013,buy
FB,12/13/2013,sell
NFLX,1/23/2014,buy
AAPL,2/10/2014,buy
AAPL,2/11/2014,sell
AMZN,2/25/2014,buy
AAPL,3/3/2014,buy
AAPL,3/4/2014,sell
AMZN,3/27/2014,sell
GOOGL,4/16/2014,buy
FB,4/16/2014,buy
AAPL,4/22/2014,buy
AAPL,4/23/2014,sell
GOOGL,4/25/2014,sell
GOOG,4/30/2014,buy
GOOGL,5/1/2014,buy
GOOG,7/18/2014,sell
FB,7/21/2014,sell
AMZN,8/14/2014,buy
GOOG,8/18/2014,buy
AMZN,9/9/2014,sell
GOOG,10/10/2014,sell
AAPL,10/21/2014,buy
FB,10/21/2014,buy
AAPL,10/22/2014,sell
GOOGL,12/16/2014,sell
AAPL,1/22/2015,buy
AAPL,1/23/2015,sell
GOOGL,4/23/2015,buy
GOOG,4/23/2015,buy
GOOGL,6/29/2015,sell
GOOG,7/8/2015,sell
GOOG,7/13/2015,buy
AAPL,7/15/2015,buy
AAPL,7/16/2015,sell
GOOG,7/17/2015,sell
GOOGL,10/5/2015,buy
GOOG,10/5/2015,buy
FB,10/22/2015,sell
GOOG,12/29/2015,sell
GOOG,1/28/2016,buy
AMZN,1/28/2016,buy
FB,1/28/2016,buy
AMZN,2/3/2016,sell
NFLX,4/19/2016,sell
GOOG,6/27/2016,sell
AMZN,11/21/2016,buy
AAPL,11/21/2016,buy
GOOG,11/28/2016,buy
AAPL,11/30/2016,sell
GOOG,12/1/2016,sell
GOOG,12/7/2016,buy
GOOGL,3/15/2017,sell
GOOGL,4/18/2017,buy
GOOG,4/24/2017,sell
AMZN,5/12/2017,sell
GOOGL,5/16/2017,sell
AAPL,7/10/2017,buy
NFLX,7/11/2017,buy
AAPL,7/11/2017,sell
GOOGL,7/12/2017,buy
GOOG,7/13/2017,buy
NFLX,7/18/2017,sell
AMZN,8/31/2017,buy
NFLX,8/31/2017,buy
AAPL,10/6/2017,buy
NFLX,10/16/2017,sell
AMZN,10/27/2017,sell
AAPL,11/7/2017,sell
NFLX,12/15/2017,buy
GOOG,1/3/2018,sell
GOOGL,1/5/2018,sell
NFLX,1/12/2018,sell
AAPL,2/14/2018,buy
GOOGL,2/21/2018,buy
GOOG,2/21/2018,buy
AMZN,4/17/2018,buy
AAPL,6/6/2018,sell
FB,7/26/2018,sell
AMZN,8/8/2018,sell
NFLX,8/22/2018,buy
NFLX,10/24/2018,sell
AMZN,11/7/2018,buy
AMZN,12/20/2018,sell
GOOGL,12/21/2018,sell
GOOG,12/21/2018,sell
AAPL,6/6/2019,buy
NFLX,6/6/2019,buy
AMZN,6/10/2019,buy
FB,6/13/2019,buy
FB,6/17/2019,sell
NFLX,7/18/2019,sell
AAPL,8/21/2019,sell
FB,8/29/2019,buy
FB,10/1/2019,sell
FB,10/10/2019,buy
FB,10/15/2019,sell
AMZN,11/13/2019,sell
AMZN,11/26/2019,buy
AMZN,1/31/2020,sell
AMZN,3/23/2020,buy
NFLX,3/24/2020,buy
NFLX,4/14/2020,sell
AMZN,6/9/2020,sell
AMZN,9/29/2020,buy
NFLX,9/30/2020,buy
AAPL,10/1/2020,buy
FB,10/1/2020,buy
GOOGL,10/2/2020,buy
GOOG,10/5/2020,buy
GOOG,10/21/2020,sell
GOOGL,11/3/2020,sell
AMZN,3/4/2021,sell
AMZN,3/12/2021,buy
FB,4/29/2021,sell
AMZN,6/17/2021,sell
AAPL,7/14/2021,sell
AMZN,8/25/2021,buy
NFLX,9/7/2021,sell
GOOGL,10/11/2021,buy
GOOG,10/11/2021,buy
AAPL,10/14/2021,buy
FB,10/18/2021,buy
FB,10/26/2021,sell
FB,11/1/2021,buy
AAPL,11/18/2021,sell
FB,12/3/2021,sell
FB,12/10/2021,buy
NFLX,12/23/2021,buy
